extract_priority	wiki_domain_candidate	bucket	content_kind	extension	bytes	absolute_path	relative_path
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	935872	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/FSosa/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev A R3 ítems críticos FSosa.xlsx	999 Work Space/CTR-01-Valves/FSosa/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev A R3 ítems críticos FSosa.xlsx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	900747	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/2) Bases de diseño/20/GSM-AO-G-BDI-10011-0000-0.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/2) Bases de diseño/20/GSM-AO-G-BDI-10011-0000-0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	890008	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10060-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10060-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	890008	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10060-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10060-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	883060	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10040-0000-1.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10040-0000-1.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	883060	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ETC-10040-0000-1.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ETC-10040-0000-1.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	881428	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-LYO-10039-0001-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-LYO-10039-0001-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	881428	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-LYO-10039-0001-B.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-LYO-10039-0001-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	877933	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-G-BDI-10012-0000-0_A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-G-BDI-10012-0000-0_A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	867342	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-ETC-10037-0000-1.pdf	000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-ETC-10037-0000-1.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	867342	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/GSM-AO-L-ETC-10037-0000-1.pdf	999 Work Space/CTR-05/GSM-AO-L-ETC-10037-0000-1.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	852150	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10059-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10059-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	852150	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10059-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10059-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	827016	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10029-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10029-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	827016	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-L-ETC-10029-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-L-ETC-10029-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	824786	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-L-ETC-10029-0000-A Rev JRA on-going.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-L-ETC-10029-0000-A Rev JRA on-going.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	820340	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-G-BDI-10011-0000-0_A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-G-BDI-10011-0000-0_A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	783044	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev C 20251210.pdf	999 Work Space/CTR-01-Valves/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev C 20251210.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	769595	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10001-0000-0-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10001-0000-0-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	762504	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10061-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10061-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	762504	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10061-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10061-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	760380	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10001-0000-0.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10001-0000-0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	745865	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Cronograma upgrade Deco I/PDT ALISTAMIENTO PONTON DECO I.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Cronograma upgrade Deco I/PDT ALISTAMIENTO PONTON DECO I.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	741095	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10002-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-ETC-10002-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	741095	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-T-ETC-10002-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-T-ETC-10002-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	735779	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-LYO-10024-0001-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-LYO-10024-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	735779	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-11/Client Supplied/GSM-AO-C-LYO-10024-0001-A.pdf	999 Work Space/CTR-11/Client Supplied/GSM-AO-C-LYO-10024-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	680537	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10068-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10068-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	680537	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10068-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-Q-PRO-10068-0000-A.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	593834	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-ETC-10036-0000-0.docx	000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-ETC-10036-0000-0.docx
medium	lng-projects	doris-62092-sesa	document	.docx	580492	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/62092-500-TCN-0005  CTR-05 Welded Accessories Support.docx	999 Work Space/CTR-05/62092-500-TCN-0005  CTR-05 Welded Accessories Support.docx
medium	lng-projects	doris-62092-sesa	document	.docx	580492	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-05/62092-500-TCN-0005  CTR-05 Welded Accessories Support.docx	999 Work Space/JWhipple/CTR-05/62092-500-TCN-0005  CTR-05 Welded Accessories Support.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	567296	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-08/GSM-AO-T-MCA-10001-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-08/GSM-AO-T-MCA-10001-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	567296	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-T-MCA-10001-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-T-MCA-10001-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	545650	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/4. SAMPLE ITP.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/4. SAMPLE ITP.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	542008	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-M-MCA-10020-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-M-MCA-10020-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	542008	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-M-MCA-10020-0000-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-M-MCA-10020-0000-A.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	536733	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification.docx	999 Work Space/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification.docx
medium	lng-projects	doris-62092-sesa	document	.docx	536733	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification.docx	999 Work Space/JWhipple/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification.docx
medium	lng-projects	doris-62092-sesa	document	.docx	536717	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification English.docx	999 Work Space/JWhipple/CTR-04/GSM-AO-L-ETC-10036-0000_0 Flange Specification English.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	505839	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/3. M.CQP.01 Rev. 2 - Company Quality Plan.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/3. M.CQP.01 Rev. 2 - Company Quality Plan.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	498011	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-05/62092-500-TCN-0005  CTR-05 Welding Support.docx	999 Work Space/JWhipple/CTR-05/62092-500-TCN-0005  CTR-05 Welding Support.docx
medium	lng-projects	doris-62092-sesa	document	.docx	494826	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/62092-500-TCN-0004  CTR-04 Flange Specification Support.docx	999 Work Space/CTR-04/62092-500-TCN-0004  CTR-04 Flange Specification Support.docx
medium	lng-projects	doris-62092-sesa	document	.docx	494826	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/62092-500-TCN-0004  CTR-04 Flange Specification Support.docx	999 Work Space/JWhipple/CTR-04/62092-500-TCN-0004  CTR-04 Flange Specification Support.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	483307	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10020-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10020-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	483307	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10020-0000-A.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10020-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	476603	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/4. ITP STANDARD.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/4. ITP STANDARD.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	458957	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev A R3.pdf	999 Work Space/CTR-01-Valves/62092-322-TBE-0001 Technical Bid Evaluation for Valves Rev A R3.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	446298	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/2. TIV VALVES REF_LIST 2013-2024 PROJECTS.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/2. TIV VALVES REF_LIST 2013-2024 PROJECTS.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	426657	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10041-0000-2.docx	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ETC-10041-0000-2.docx
medium	lng-projects	doris-62092-sesa	document	.docx	426657	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ETC-10041-0000-2.docx	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ETC-10041-0000-2.docx
medium	lng-projects	doris-62092-sesa	document	.docx	421792	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/CTR 04 Material Design Support Queries.docx	999 Work Space/CTR-04/CTR 04 Material Design Support Queries.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	413517	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/2. ITP.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/2. ITP.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	389654	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-M-FAB-10027-0001-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-M-FAB-10027-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	389654	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-11/Client Supplied/GSM-AO-M-FAB-10027-0001-A.pdf	999 Work Space/CTR-11/Client Supplied/GSM-AO-M-FAB-10027-0001-A.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	383613	/mnt/ace/doris/62092_sesa/999 Work Space/Templates/62092-500-TCN-0002 Pipeline  Expansion Analysys Technical Note Rev A.docx	999 Work Space/Templates/62092-500-TCN-0002 Pipeline  Expansion Analysys Technical Note Rev A.docx
medium	lng-projects	doris-62092-sesa	document	.docx	355612	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 with comment JW_FSosa.docx	999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 with comment JW_FSosa.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	350136	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Pontón Deco I/DECO I - ARQUEO.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Pontón Deco I/DECO I - ARQUEO.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	347438	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 with comment JW.docx	999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 with comment JW.docx
medium	lng-projects	doris-62092-sesa	document	.docx	344640	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 Final.docx	999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1 Final.docx
medium	lng-projects	doris-62092-sesa	document	.docx	338824	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1.docx	999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note Rev 1.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	337954	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-TIP-10001-0001-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-T-TIP-10001-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	337954	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-T-TIP-10001-0001-A.pdf	999 Work Space/CTR-09/Client Supplied/GSM-AO-T-TIP-10001-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	315516	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ISO-10004-0001-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-ISO-10004-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	315516	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ISO-10004-0001-A.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-ISO-10004-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	304088	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.1. Dwg.OV2500361-1_R0.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.1. Dwg.OV2500361-1_R0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	303550	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.2. Dwg.OV2500361-2_R0.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.2. Dwg.OV2500361-2_R0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	300159	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/1) Diagramas P&ID/20/GSM-AO-P-PID-10050-0001-C.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/1) Diagramas P&ID/20/GSM-AO-P-PID-10050-0001-C.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	299644	/mnt/ace/doris/62092_sesa/002 Project Filing/100 Project Management/190 Project Records/Letters/DORIS Certificado Personal no Colombia.pdf	002 Project Filing/100 Project Management/190 Project Records/Letters/DORIS Certificado Personal no Colombia.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	291461	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/4. Certificate 6DSS-0011_20241203122116.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/FLUITEK/FLUITEK/4. Certificate 6DSS-0011_20241203122116.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	290992	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/6. Certificate 6DSS-0012.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/6. Certificate 6DSS-0012.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	290908	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/6. Certificate 6DSS-0030 (valid until Jan 2027).pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/6. Certificate 6DSS-0030 (valid until Jan 2027).pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	290340	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/6. Certificate 6DSS-0057_20230316123849.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/6. Certificate 6DSS-0057_20230316123849.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	290281	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/1) Diagramas P&ID/24/GSM-AO-P-PID-10051-0001-C.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/1) Diagramas P&ID/24/GSM-AO-P-PID-10051-0001-C.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	287602	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.4. Dwg.OV2500361-4_R0.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/1.4. Dwg.OV2500361-4_R0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	287569	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Pontón Deco I/DECO I - MATRICULA.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Pontón Deco I/DECO I - MATRICULA.pdf
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	280444	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-HDS-10017-0000 -B.xlsx	000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-HDS-10017-0000 -B.xlsx
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	280444	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B.xlsx	999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B.xlsx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	276837	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/2. HIT VALVE API6DSS Reference List October 2025.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/2. HIT VALVE API6DSS Reference List October 2025.pdf
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	275214	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/2.1. RMT VM Reference List - GENERAL.xlsx	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/2.1. RMT VM Reference List - GENERAL.xlsx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	264161	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Fittings/CPY request Weld Support 2 dec 2025.pdf	000 Client Supplied/03-Material Specs and DS/Fittings/CPY request Weld Support 2 dec 2025.pdf
